"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"CAB","Alberta (Canada)","16_T027","Teachers who 'agree' or 'strongly agree' that the teaching profession is valued in society","PERCENTAGE","Percentage","VAL","Value","2013","2013",47,,
"CAB","Alberta (Canada)","16_T027","Teachers who 'agree' or 'strongly agree' that the teaching profession is valued in society","PERCENTAGE","Percentage","VAL","Value","2018","2018",62.700001,,
"CAB","Alberta (Canada)","16_T028","Teachers who are, all in all, satisfied with their job","PERCENTAGE","Percentage","VAL","Value","2013","2013",91.900002,,
"CAB","Alberta (Canada)","16_T028","Teachers who are, all in all, satisfied with their job","PERCENTAGE","Percentage","VAL","Value","2018","2018",92.699997,,
"CAB","Alberta (Canada)","16_T166","Teachers who are satisfied with the salary they receive for their work","PERCENTAGE","Percentage","VAL","Value","2018","2018",76.099998,,
"CAB","Alberta (Canada)","16_T167","Teachers who, apart from their salary, are satisfied with the terms of their teaching contract/employment","PERCENTAGE","Percentage","VAL","Value","2018","2018",83,,
"CAB","Alberta (Canada)","16_T027","Teachers who 'agree' or 'strongly agree' that the teaching profession is valued in society","PERCENTAGE","Percentage","SE","S.E.","2013","2013",1.4063743,,
"CAB","Alberta (Canada)","16_T027","Teachers who 'agree' or 'strongly agree' that the teaching profession is valued in society","PERCENTAGE","Percentage","SE","S.E.","2018","2018",2.3903134,,
"CAB","Alberta (Canada)","16_T028","Teachers who are, all in all, satisfied with their job","PERCENTAGE","Percentage","SE","S.E.","2013","2013",0.84984672,,
"CAB","Alberta (Canada)","16_T028","Teachers who are, all in all, satisfied with their job","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.2081463,,
"CAB","Alberta (Canada)","16_T166","Teachers who are satisfied with the salary they receive for their work","PERCENTAGE","Percentage","SE","S.E.","2018","2018",2.2125671,,
"CAB","Alberta (Canada)","16_T167","Teachers who, apart from their salary, are satisfied with the terms of their teaching contract/employment","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.4961917,,
"AUS","Australia","16_T027","Teachers who 'agree' or 'strongly agree' that the teaching profession is valued in society","PERCENTAGE","Percentage","VAL","Value","2013","2013",38.5,,
"AUS","Australia","16_T027","Teachers who 'agree' or 'strongly agree' that the teaching profession is valued in society","PERCENTAGE","Percentage","VAL","Value","2018","2018",44.700001,,
"AUS","Australia","16_T028","Teachers who are, all in all, satisfied with their job","PERCENTAGE","Percentage","VAL","Value","2013","2013",90,,
