"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"CAB","Alberta (Canada)","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",82.199997,,
"CAB","Alberta (Canada)","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.199997,,
"CAB","Alberta (Canada)","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.6933931,,
"CAB","Alberta (Canada)","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.2909192,,
"AUS","Australia","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",83.400002,,
"AUS","Australia","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",80.800003,,
"AUS","Australia","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.73352867,,
"AUS","Australia","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.86362708,,
"AUT","Austria","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",88.800003,,
"AUT","Austria","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",83.5,,
"AUT","Austria","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.48908967,,
"AUT","Austria","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.80263752,,
"BEL","Belgium","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",76.400002,,
"BEL","Belgium","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",78.099998,,
"BEL","Belgium","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.69032305,,
"BEL","Belgium","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.72504133,,
"BEL-BFL","Flemish Community of Belgium","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",84.099998,,
"BEL-BFL","Flemish Community of Belgium","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",88,,
"BEL-BFL","Flemish Community of Belgium","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.8046096,,
"BEL-BFL","Flemish Community of Belgium","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.63477129,,
"BEL-BFR","French Community of Belgium","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",67.5,,
"BEL-BFR","French Community of Belgium","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",66.800003,,
"BEL-BFR","French Community of Belgium","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0907878,,
"BEL-BFR","French Community of Belgium","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.1375546,,
"BRA","Brazil","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",95.5,,
"BRA","Brazil","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",95.599998,,
"BRA","Brazil","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.48352742,,
"BRA","Brazil","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.50112665,,
"BGR","Bulgaria","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",94.300003,,
"BGR","Bulgaria","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",83.199997,,
"BGR","Bulgaria","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.58256835,,
"BGR","Bulgaria","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.95544857,,
"BAA","CABA (Argentina)","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",89.400002,,
"BAA","CABA (Argentina)","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",94,,
"BAA","CABA (Argentina)","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.80512965,,
"BAA","CABA (Argentina)","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.64376801,,
"CHL","Chile","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.400002,,
"CHL","Chile","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",87.900002,,
"CHL","Chile","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.7717064,,
"CHL","Chile","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.78839052,,
"COL","Colombia","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",98.199997,,
"COL","Colombia","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",97.699997,,
"COL","Colombia","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.36916077,,
"COL","Colombia","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.62619925,,
"HRV","Croatia","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",47.299999,,
"HRV","Croatia","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",74.400002,,
"HRV","Croatia","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.1211317,,
"HRV","Croatia","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0302893,,
"CZE","Czech Republic","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",56.200001,,
"CZE","Czech Republic","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",65.199997,,
"CZE","Czech Republic","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0530468,,
"CZE","Czech Republic","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.8867197,,
"DNK","Denmark","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","VAL","Value","2018","2018",96.300003,,
"DNK","Denmark","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","VAL","Value","2018","2018",92.5,,
"DNK","Denmark","9_T025","Teachers who believe they can help their students to value learning","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.48725587,,
"DNK","Denmark","9_T026","Teachers who believe they can help their students to think critically","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.8019408,,
