"COUNTRY","Country","VARIABLE","Variable","UNIT","Unit","MEASURE","Measure","TIME","Time","Value","Flag Codes","Flags"
"CAB","Alberta (Canada)","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2013","2013",60.299999,,
"CAB","Alberta (Canada)","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2018","2018",63.5,,
"CAB","Alberta (Canada)","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2013","2013",21.4,,
"CAB","Alberta (Canada)","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2018","2018",20.4,,
"CAB","Alberta (Canada)","1_T001","Teachers' average age","YEARS","Years","VAL","Value","2018","2018",40.200001,,
"CAB","Alberta (Canada)","1_T002","Teachers' average work experience as a teacher","YEARS","Years","VAL","Value","2018","2018",13.1,,
"CAB","Alberta (Canada)","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2013","2013",1.2638131,,
"CAB","Alberta (Canada)","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2018","2018",2.3494325,,
"CAB","Alberta (Canada)","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2013","2013",1.2036389,,
"CAB","Alberta (Canada)","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.5283108,,
"CAB","Alberta (Canada)","1_T001","Teachers' average age","YEARS","Years","SE","S.E.","2018","2018",0.42136705,,
"CAB","Alberta (Canada)","1_T002","Teachers' average work experience as a teacher","YEARS","Years","SE","S.E.","2018","2018",0.35710219,,
"AUS","Australia","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2013","2013",59.200001,,
"AUS","Australia","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2018","2018",62.099998,,
"AUS","Australia","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2013","2013",37.099998,,
"AUS","Australia","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2018","2018",29.9,,
"AUS","Australia","1_T001","Teachers' average age","YEARS","Years","VAL","Value","2018","2018",42.099998,,
"AUS","Australia","1_T002","Teachers' average work experience as a teacher","YEARS","Years","VAL","Value","2018","2018",15.2,,
"AUS","Australia","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2013","2013",1.3721826,,
"AUS","Australia","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.97412342,,
"AUS","Australia","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2013","2013",1.3357706,,
"AUS","Australia","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.9284178,,
"AUS","Australia","1_T001","Teachers' average age","YEARS","Years","SE","S.E.","2018","2018",0.24520247,,
"AUS","Australia","1_T002","Teachers' average work experience as a teacher","YEARS","Years","SE","S.E.","2018","2018",0.23066175,,
"AUT","Austria","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2013","2013",,"a","The question was not administered in the country because it was optional or it is part of a questionnaire from a TALIS cycle the country has not participated in. Therefore, data are missing."
"AUT","Austria","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2018","2018",70.5,,
"AUT","Austria","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2013","2013",,"a","The question was not administered in the country because it was optional or it is part of a questionnaire from a TALIS cycle the country has not participated in. Therefore, data are missing."
"AUT","Austria","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2018","2018",43.799999,,
"AUT","Austria","1_T001","Teachers' average age","YEARS","Years","VAL","Value","2018","2018",44.900002,,
"AUT","Austria","1_T002","Teachers' average work experience as a teacher","YEARS","Years","VAL","Value","2018","2018",18.200001,,
"AUT","Austria","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2013","2013",,"a","The question was not administered in the country because it was optional or it is part of a questionnaire from a TALIS cycle the country has not participated in. Therefore, data are missing."
"AUT","Austria","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.68290734,,
"AUT","Austria","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2013","2013",,"a","The question was not administered in the country because it was optional or it is part of a questionnaire from a TALIS cycle the country has not participated in. Therefore, data are missing."
"AUT","Austria","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.84260708,,
"AUT","Austria","1_T001","Teachers' average age","YEARS","Years","SE","S.E.","2018","2018",0.23482868,,
"AUT","Austria","1_T002","Teachers' average work experience as a teacher","YEARS","Years","SE","S.E.","2018","2018",0.24888988,,
"BEL","Belgium","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2013","2013",,"a","The question was not administered in the country because it was optional or it is part of a questionnaire from a TALIS cycle the country has not participated in. Therefore, data are missing."
"BEL","Belgium","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2018","2018",69.5,,
"BEL","Belgium","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2013","2013",,"a","The question was not administered in the country because it was optional or it is part of a questionnaire from a TALIS cycle the country has not participated in. Therefore, data are missing."
"BEL","Belgium","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2018","2018",21.9,,
"BEL","Belgium","1_T001","Teachers' average age","YEARS","Years","VAL","Value","2018","2018",39.599998,,
"BEL","Belgium","1_T002","Teachers' average work experience as a teacher","YEARS","Years","VAL","Value","2018","2018",15.4,,
"BEL","Belgium","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2013","2013",,"a","The question was not administered in the country because it was optional or it is part of a questionnaire from a TALIS cycle the country has not participated in. Therefore, data are missing."
"BEL","Belgium","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.76372957,,
"BEL","Belgium","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2013","2013",,"a","The question was not administered in the country because it was optional or it is part of a questionnaire from a TALIS cycle the country has not participated in. Therefore, data are missing."
"BEL","Belgium","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.71720034,,
"BEL","Belgium","1_T001","Teachers' average age","YEARS","Years","SE","S.E.","2018","2018",0.2035524,,
"BEL","Belgium","1_T002","Teachers' average work experience as a teacher","YEARS","Years","SE","S.E.","2018","2018",0.22868952,,
"BEL-BFL","Flemish Community of Belgium","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2013","2013",68.099998,,
"BEL-BFL","Flemish Community of Belgium","1_T000","Female teachers","PERCENTAGE","Percentage","VAL","Value","2018","2018",70.199997,,
"BEL-BFL","Flemish Community of Belgium","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2013","2013",23.9,,
"BEL-BFL","Flemish Community of Belgium","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","VAL","Value","2018","2018",22,,
"BEL-BFL","Flemish Community of Belgium","1_T001","Teachers' average age","YEARS","Years","VAL","Value","2018","2018",39.400002,,
"BEL-BFL","Flemish Community of Belgium","1_T002","Teachers' average work experience as a teacher","YEARS","Years","VAL","Value","2018","2018",15.9,,
"BEL-BFL","Flemish Community of Belgium","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2013","2013",1.369102,,
"BEL-BFL","Flemish Community of Belgium","1_T000","Female teachers","PERCENTAGE","Percentage","SE","S.E.","2018","2018",1.0124936,,
"BEL-BFL","Flemish Community of Belgium","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2013","2013",0.84979117,,
"BEL-BFL","Flemish Community of Belgium","1_T029","Teachers aged 50 and above","PERCENTAGE","Percentage","SE","S.E.","2018","2018",0.99761057,,
