"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","AGE","Age","SEX","Gender","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BFR","French com. (Belgium)","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,51530.188053998,,
"BFR","French com. (Belgium)","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,51530.188053998,,
"BFR","French com. (Belgium)","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,51530.188053998,,
"BFR","French com. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,50864.2328340069,,
"BFR","French com. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,50864.2328340069,,
"BFR","French com. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,50864.2328340069,,
"BFR","French com. (Belgium)","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,49425.7663193531,,
"BFR","French com. (Belgium)","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,49425.7663193531,,
"BFR","French com. (Belgium)","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,49425.7663193531,,
"BFR","French com. (Belgium)","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,62684.7337912742,,
"BFR","French com. (Belgium)","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","F","Women","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,62684.7337912742,,
"BFR","French com. (Belgium)","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T64","25-64 years","M","Men","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,62684.7337912742,,
"BFR","French com. (Belgium)","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y25T34","25-34 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,41371.531644395,,
"BFR","French com. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","Y25T34","25-34 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,41944.8543058649,,
"BFR","French com. (Belgium)","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y25T34","25-34 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,41848.7611358575,,
"BFR","French com. (Belgium)","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y25T34","25-34 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,50129.9647364514,,
"BFR","French com. (Belgium)","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y35T44","35-44 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,48760.0570712694,,
"BFR","French com. (Belgium)","2017","2017","L1","Primary education (ISCED2011 level 1)","Y35T44","35-44 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,49991.3929101708,,
"BFR","French com. (Belgium)","2017","2017","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","Y35T44","35-44 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,49125.6379918337,,
"BFR","French com. (Belgium)","2017","2017","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","Y35T44","35-44 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,59047.7101893096,,
"BFR","French com. (Belgium)","2017","2017","L0","Pre-primary education (ISCED2011 level 0)","Y45T54","45-54 years","T","Total","USD_ACTL_YR","""Annual average salaries (including bonuses and allowances) of teachers in public institutions, in equivalent USD converted using PPPs for private consumption""",,,"0","Units",,,58053.5333147736,,
